goos: linux
goarch: amd64
pkg: github.com/larsartmann/go-filewatcher/v2
cpu: AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          
BenchmarkEmitEvent_WithPerPathDebounce-32                           	 3975714	       301.3 ns/op	     416 B/op	       6 allocs/op
BenchmarkEmitEvent_WithPerPathDebounce-32                           	 3862113	       305.9 ns/op	     416 B/op	       6 allocs/op
BenchmarkEmitEvent_WithPerPathDebounce-32                           	 4136193	       296.0 ns/op	     416 B/op	       6 allocs/op
BenchmarkEmitEvent_WithPerPathDebounce-32                           	 4188757	       291.0 ns/op	     416 B/op	       6 allocs/op
BenchmarkEmitEvent_WithPerPathDebounce-32                           	 3926506	       299.2 ns/op	     416 B/op	       6 allocs/op
BenchmarkEventAllocation-32                                         	26026411	        44.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkEventAllocation-32                                         	26662038	        48.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkEventAllocation-32                                         	25461375	        46.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkEventAllocation-32                                         	25759388	        48.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkEventAllocation-32                                         	26552790	        48.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkEventAllocation-32                                         	22992086	        53.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkEventString-32                                             	 7018921	       163.7 ns/op	     112 B/op	       4 allocs/op
BenchmarkEventString-32                                             	 7948636	       150.6 ns/op	     112 B/op	       4 allocs/op
BenchmarkEventString-32                                             	 8058450	       149.3 ns/op	     112 B/op	       4 allocs/op
BenchmarkEventString-32                                             	 8055514	       150.8 ns/op	     112 B/op	       4 allocs/op
BenchmarkEventString-32                                             	 7901874	       152.6 ns/op	     112 B/op	       4 allocs/op
BenchmarkEventString-32                                             	 8118919	       153.4 ns/op	     112 B/op	       4 allocs/op
BenchmarkOpString-32                                                	1000000000	         1.031 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpString-32                                                	1000000000	         0.9885 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpString-32                                                	1000000000	         1.095 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpString-32                                                	1000000000	         1.044 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpString-32                                                	1000000000	         0.9563 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpString-32                                                	1000000000	         1.070 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipByGitignore_NoGitignore-32                       	27237686	        46.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipByGitignore_NoGitignore-32                       	19509890	        60.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipByGitignore_NoGitignore-32                       	24749958	        48.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipByGitignore_NoGitignore-32                       	24291303	        54.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipByGitignore_NoGitignore-32                       	24312162	        57.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipByGitignore_NoGitignore-32                       	24449026	        56.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipByGitignore_WithGitignore-32                     	  314830	      4872 ns/op	     113 B/op	       1 allocs/op
BenchmarkShouldSkipByGitignore_WithGitignore-32                     	  300493	      3820 ns/op	     112 B/op	       1 allocs/op
BenchmarkShouldSkipByGitignore_WithGitignore-32                     	  297435	      4450 ns/op	     113 B/op	       1 allocs/op
BenchmarkShouldSkipByGitignore_WithGitignore-32                     	  355434	      4002 ns/op	     112 B/op	       1 allocs/op
BenchmarkShouldSkipByGitignore_WithGitignore-32                     	  318541	      3393 ns/op	     112 B/op	       1 allocs/op
BenchmarkShouldSkipByGitignore_WithGitignore-32                     	  388278	      3214 ns/op	     112 B/op	       1 allocs/op
BenchmarkShouldSkipByGitignore_NotMatched-32                        	 1380206	       874.9 ns/op	      96 B/op	       1 allocs/op
BenchmarkShouldSkipByGitignore_NotMatched-32                        	 1383394	       872.2 ns/op	      97 B/op	       1 allocs/op
BenchmarkShouldSkipByGitignore_NotMatched-32                        	 1313482	       923.5 ns/op	      96 B/op	       1 allocs/op
BenchmarkShouldSkipByGitignore_NotMatched-32                        	 1000000	      1021 ns/op	      97 B/op	       1 allocs/op
BenchmarkShouldSkipByGitignore_NotMatched-32                        	 1345012	       903.7 ns/op	      96 B/op	       1 allocs/op
BenchmarkShouldSkipByGitignore_NotMatched-32                        	 1297656	       918.7 ns/op	      97 B/op	       1 allocs/op
BenchmarkGitignoreCache_Load-32                                     	78869028	        15.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkGitignoreCache_Load-32                                     	72923082	        16.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkGitignoreCache_Load-32                                     	69689029	        16.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkGitignoreCache_Load-32                                     	77697139	        15.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkGitignoreCache_Load-32                                     	72924556	        16.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkGitignoreCache_Load-32                                     	81533193	        14.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_ASCII_CaseSensitive-32                             	67170304	        20.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_ASCII_CaseSensitive-32                             	53895985	        22.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_ASCII_CaseSensitive-32                             	63864327	        20.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_ASCII_CaseSensitive-32                             	63247506	        20.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_ASCII_CaseSensitive-32                             	58879794	        23.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_ASCII_CaseSensitive-32                             	61980310	        20.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_ASCII_CaseInsensitive-32                           	30541540	        40.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_ASCII_CaseInsensitive-32                           	30108930	        44.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_ASCII_CaseInsensitive-32                           	28624412	        41.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_ASCII_CaseInsensitive-32                           	19707598	        60.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_ASCII_CaseInsensitive-32                           	17396182	        57.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_ASCII_CaseInsensitive-32                           	22641477	        50.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_UnicodeNFC_CaseSensitive-32                        	10869397	       120.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_UnicodeNFC_CaseSensitive-32                        	10625222	       118.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_UnicodeNFC_CaseSensitive-32                        	 9567092	       114.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_UnicodeNFC_CaseSensitive-32                        	10817719	       109.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_UnicodeNFC_CaseSensitive-32                        	11016166	       113.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_UnicodeNFC_CaseSensitive-32                        	10320876	       110.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkPathKey_UnicodeNFD_CaseSensitive-32                        	 1849340	       695.7 ns/op	     672 B/op	       3 allocs/op
BenchmarkPathKey_UnicodeNFD_CaseSensitive-32                        	 1772810	       667.8 ns/op	     672 B/op	       3 allocs/op
BenchmarkPathKey_UnicodeNFD_CaseSensitive-32                        	 1908322	       633.4 ns/op	     672 B/op	       3 allocs/op
BenchmarkPathKey_UnicodeNFD_CaseSensitive-32                        	 1952358	       625.4 ns/op	     672 B/op	       3 allocs/op
BenchmarkPathKey_UnicodeNFD_CaseSensitive-32                        	 1870725	       638.7 ns/op	     672 B/op	       3 allocs/op
BenchmarkPathKey_UnicodeNFD_CaseSensitive-32                        	 1939605	       615.3 ns/op	     672 B/op	       3 allocs/op
BenchmarkShouldExcludePath_Empty-32                                 	1000000000	         1.127 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_Empty-32                                 	1000000000	         1.237 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_Empty-32                                 	933940802	         1.214 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_Empty-32                                 	1000000000	         1.281 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_Empty-32                                 	954831268	         1.278 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_Empty-32                                 	734677154	         1.552 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_FewPaths-32                              	 6722367	       181.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_FewPaths-32                              	 7596066	       168.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_FewPaths-32                              	 6409526	       168.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_FewPaths-32                              	 8942030	       135.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_FewPaths-32                              	 8889412	       138.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_FewPaths-32                              	 8774566	       153.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_ManyPaths-32                             	  440959	      2938 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_ManyPaths-32                             	  477124	      2801 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_ManyPaths-32                             	  414560	      2856 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_ManyPaths-32                             	  436958	      3357 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_ManyPaths-32                             	  437425	      3554 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludePath_ManyPaths-32                             	  418514	      2997 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCaseInsensitive-32                                   	10808222	       104.7 ns/op	      24 B/op	       1 allocs/op
BenchmarkFilterCaseInsensitive-32                                   	12102963	       104.4 ns/op	      24 B/op	       1 allocs/op
BenchmarkFilterCaseInsensitive-32                                   	11848150	       104.2 ns/op	      24 B/op	       1 allocs/op
BenchmarkFilterCaseInsensitive-32                                   	11558868	       104.9 ns/op	      24 B/op	       1 allocs/op
BenchmarkFilterCaseInsensitive-32                                   	12084682	       104.1 ns/op	      24 B/op	       1 allocs/op
BenchmarkFilterCaseInsensitive-32                                   	11243266	       104.4 ns/op	      24 B/op	       1 allocs/op
BenchmarkFilterCaseSensitive-32                                     	20807946	        53.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCaseSensitive-32                                     	22562295	        50.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCaseSensitive-32                                     	23528851	        54.64 ns/op	       0 B/op	       0 allocs/op
